Movie	Mean Rating	Rating Count	Cold Index
纯真	7.6	1012	39.35191450173476
世界奇妙物语  99秋之特别篇	8.1	1572	39.34962885404814
情狱	7.6	1013	39.34646229959781
浓情酒乡	7.9	1328	39.34593253142412
道别派对	8.0	1449	39.33727415534168
剑岳：点之记	7.6	1015	39.335574023454654
夜阑人未静	7.8	1221	39.32381724109873
夏虫国	8.4	2006	39.31952707178055
堀桑与宫村君 OVA	8.1	1581	39.31604054923832
逃狱9人组	7.9	1337	39.307174885841185
大刺客	7.6	1021	39.30303746041583
我的英雄学院  OAD1 解救！救援训练！	8.4	2014	39.29524268496736
越位	7.8	1230	39.28220902451333
风的第一声呼吸	8.3	899	39.277533592908995
八千米死亡线	8.0	1465	39.27346130624751
古畑任三郎 微笑的袋鼠	8.5	2181	39.271211672529034
奥赛罗	7.8	966	39.26892032933473
浮士德	8.1	1594	39.26786014747351
乔治亚·奥基弗	7.6	1028	39.265318934462634
大失踪	7.7	1129	39.25780892065247
命运的捉弄	8.5	2186	39.2570736302349
叛舰喋血记	7.9	1352	39.24315492539504
牧场之家好做伴	7.7	1132	39.242966832009955
好小子2：大战巨无霸	7.7	1137	39.21831720879424
葬礼	8.2	1746	39.2101552063493
曼妮姐妹	7.7	1139	39.20848769755666
梦比优斯奥特曼和奥特兄弟	8.5	2205	39.20364240308854
老店	7.6	1040	39.20125220902092
神秘博士：2017圣诞特别篇	8.2	1750	39.196525516985346
彩虹艳尽半边天	7.8	1251	39.18629527836823
前往并离开	7.7	1144	39.183989233268655
静夜之决斗	7.6	993	39.18034700125828
飞跃情海	7.6	1044	39.18006080405353
暗恋	7.6	1044	39.18006080405353
第十二夜	8.0	1489	39.17903703485317
大人别出声	8.1	1621	39.169036389503574
无敌青春	7.7	1148	39.16446743175788
云中命案	7.8	1256	39.16369601946786
亚当的苹果	8.2	1760	39.16258712514449
安琪拉的灰烬	8.3	1907	39.1565636480199
谁能带我回家	7.8	1260	39.145681293020665
野山	7.7	977	39.14502955163026
布尔什维克的虚弱	7.7	1152	39.14501353230254
四大家族之龙虎兄弟	7.7	1153	39.14016061186394
圣诗复仇	7.6	1052	39.1379204909097
香蕉天堂	8.3	1913	39.13762496890874
众神与将军	8.0	1500	39.136266757516225
天伦之旅	8.7	2579	39.13600138162241
水晶鞋与玫瑰花	7.6	1053	39.132675498386945
别了武器	8.8	2769	39.13146901891139
耶稣传	8.6	859	39.13065243066778
化身博士	8.1	1632	39.129245958379215
H庄园的一次午餐	8.0	1502	39.12852405260839
生命无限公司	7.7	1157	39.12079092859227
推销员之死	8.2	1776	39.10868475135697
职场无间道	7.6	1058	39.10652502686617
法拉利传	8.4	882	39.101811654918265
亮眼睛	8.3	1928	39.090536930317
随心所欲的五月	7.9	1389	39.08822707008224
图潘	7.7	1164	39.087054563329765
杨门女将之穆桂英挂帅	7.6	1063	39.080497848926896
阴谋	8.2	1785	39.078577669630086
四月碎片	7.7	975	39.07607095452012
来的都是客	7.9	1392	39.075846778475324
我的美国舅舅	8.1	1649	39.06827613387539
我叫埃米莉	7.7	1168	39.067867613279276
寻找幸福的起点	8.4	2092	39.06340152455874
西部执法者	7.8	1279	39.06088498215921
冰上奇缘	7.9	1396	39.05938116334996
欢乐时光	8.3	1939	39.05623795659546
High☆Speed! -Free! Starting Days-	7.9	1397	39.05527213135631
血茶与红绳	8.0	1523	39.04784250349604
呐喊	8.1	1657	39.03980161773619
冬狮	8.1	1661	39.02561587147088
希林公主	7.6	1074	39.023666372388575
古巴万岁	8.1	1665	39.01146424609544
恩赐妙手：班·卡森医师	8.3	1955	39.00669431553984
最炎热的国度	7.8	1294	38.99482562483321
艾米粒日记	7.7	1184	38.99177133120282
周六夜现场：保罗·路德/碧昂斯	8.9	822	38.98535531840934
温柔女子	7.7	1186	38.98233168262518
敲开我心门	7.8	1297	38.98170568065854
长路将尽	7.7	1189	38.96820201501442
相棒剧场版2	7.8	1308	38.933857493283135
驿路	8.0	1555	38.927013735872606
心灵的冒险	7.9	1429	38.92531299293118
老人与海	7.8	1310	38.92520107189822
伟大诱惑	7.7	1200	38.91669650661336
可玛猫	8.9	3069	38.91115768296458
大河之歌	8.7	2674	38.907406680166105
退休警察	7.6	1097	38.90669456452357
生死决	7.6	1098	38.90166462867223
太空先锋	7.9	1435	38.90126995663709
山之音	7.7	1204	38.89808420839016
龙珠Z剧场版13：龙拳爆发!! 悟空舍我其谁	7.7	1205	38.89344079554179
清洁女工之死	7.6	1101	38.88660226130594
恋爱编织梦	7.8	1319	38.88641001868994
外国学生宿舍谋杀案	7.7	1210	38.87028138168625
剧场版 破刃之剑 第六章 恸哭之寨	7.5	1006	38.86652100354253
昨日、今日、明日	7.9	1444	38.86539323927943
祇园姊妹	8.0	1574	38.85644266441004
脑中蜜	8.0	1574	38.85644266441004
远大前程	7.8	1326	38.856421754454495
裸岛	8.5	2333	38.85525458081818
狐妖小红娘剧场版：月红篇	9.3	4010	38.85337462584657
夜晚的远足	7.7	1215	38.84721747083946
猫眼看人	7.5	1010	38.84490304670104
母与子	8.3	2009	38.84242803561691
那天妈妈来看我	8.1	1715	38.83738245218822
拉丁男孩的天空	7.6	1111	38.836689134516
红粉惊魂	7.6	1112	38.83172255369073
狐妖小红娘剧场版：千颜	8.6	2526	38.815873500265674
风的旅程	7.9	1457	38.81396413380948
亚人2：冲突	8.4	2181	38.8091974175581
火山边缘之恋	7.9	1459	38.80609271565621
落山	8.0	925	38.79950450534183
尘世之间	8.0	1593	38.78671837711406
将军之夜	7.7	1229	38.783139956243645
梵高与提奥	7.8	952	38.7785467449679
源氏物语	7.9	938	38.77786572581982
王先生之欲火焚身	7.6	1123	38.77738305778117
小魔女学园	8.7	2732	38.77180308064078
好猫咪咪	8.2	1881	38.76656281298765
草房子	8.3	2038	38.75602407144451
警察结婚记	7.7	1238	38.74233157569633
无名英雄	8.3	2044	38.73830095855558
必是天堂	7.5	1030	38.738081624651386
银色星球	7.7	1242	38.72428965535901
24小时狂欢派对	7.9	1480	38.724088243080615
父亲在世时	8.4	2214	38.717569913414
爱在战火蔓延时	7.8	1361	38.7088161345487
擦鞋童	8.5	2390	38.70622232645997
数码宝贝大电影一：滚球兽的诞生	9.1	3614	38.705089241835765
残花泪	7.7	964	38.69638724831616
给我承诺	8.0	1619	38.6926419895241
电锯女仆 2	7.8	1369	38.67561090136628
鹰狼传奇	7.6	1144	38.67510625621321
头文字D 新OVA 启程之绿	7.5	993	38.664816119662795
猫和老鼠：魔法戒指	8.6	2588	38.66440091258544
夏洛的网	8.2	1914	38.66297460805196
饭	8.3	2075	38.647552440242336
乐高星球大战：学徒危机	7.6	1150	38.646229010512556
濒临边缘的人	7.6	1151	38.6414307883809
黑星球	7.6	1151	38.6414307883809
清凉寺钟声	8.0	1634	38.63905200773301
节日	7.6	1155	38.62227949696172
圣女贞德的审判	7.9	1507	38.62034715228177
生死狂澜	7.6	1156	38.61750203736893
亨利六世：第一部分	7.9	1511	38.6051363735039
德尔苏·乌扎拉	8.6	2615	38.59956798446801
杀手·蝴蝶·梦	8.1	1787	38.59542114307826
军官与绅士	7.5	1058	38.59196548703899
